MONTHS,地区,城市/乡村,是否上网捆绑,QQ接入号,用户群类型,话单张数,用户数,自然时长（分钟）,记费次数,市话费（元）
0801,渝北局,城市,未捆绑,118318,固定电话          ,60,30,235,264,26.40
0801,渝北局,城市,未捆绑,118318,后付费包月小灵通  ,939,43,7920,8018,801.80
0801,渝北局,城市,未捆绑,118318,后付费非包月小灵通,60,22,214,235,23.50
0801,渝北局,城市,未捆绑,118318,预付费包月小灵通  ,1116,83,9967,10333,9.21
0801,渝北局,城市,未捆绑,118318,预付费非包月小灵通,130,12,3385,3405,8.23
0801,渝北局,城市,未捆绑,96501,固定电话          ,7,3,7,14,1.40
0801,渝北局,城市,未捆绑,96501,后付费非包月小灵通,4,1,3,8,0.80
0801,渝北局,城市,未捆绑,966118,固定电话          ,508,255,1571,2163,217.98
0801,渝北局,城市,未捆绑,966118,后付费包月小灵通  ,412,42,5667,5661,566.10
0801,渝北局,城市,未捆绑,966118,后付费非包月小灵通,208,27,2872,2836,284.05
0801,渝北局,城市,未捆绑,966118,预付费包月小灵通  ,1443,78,16330,16532,10.98
0801,渝北局,城市,未捆绑,966118,预付费非包月小灵通,20,3,422,425,4.26
0801,渝北局,乡村,未捆绑,118318,固定电话          ,54,13,131,173,17.30
0801,渝北局,乡村,未捆绑,118318,后付费包月小灵通  ,58,3,907,943,0.00
0801,渝北局,乡村,未捆绑,118318,预付费包月小灵通  ,21938,1104,206303,213796,102.66
0801,渝北局,乡村,未捆绑,118318,预付费非包月小灵通,281,53,1849,1992,6.27
0801,渝北局,乡村,未捆绑,96501,固定电话          ,10,2,11,20,2.00
0801,渝北局,乡村,未捆绑,966118,固定电话          ,110,67,195,350,37.70
0801,渝北局,乡村,未捆绑,966118,后付费包月小灵通  ,5,3,11,15,0.00
0801,渝北局,乡村,未捆绑,966118,预付费包月小灵通  ,23617,1169,277932,281619,77.81
0801,渝北局,乡村,未捆绑,966118,预付费非包月小灵通,308,36,3036,3119,14.90
0801,璧山局,城市,未捆绑,118318,固定电话          ,6,6,17,20,2.00
0801,璧山局,城市,未捆绑,118318,后付费包月小灵通  ,2634,126,20375,21262,2126.20
0801,璧山局,城市,未捆绑,118318,后付费非包月小灵通,361,29,995,1319,131.90
0801,璧山局,城市,未捆绑,118318,预付费非包月小灵通,1,1,1,2,0.20
0801,璧山局,城市,未捆绑,96501,固定电话          ,18,5,8,36,3.60
0801,璧山局,城市,未捆绑,966118,固定电话          ,244,135,633,943,94.30
0801,璧山局,城市,未捆绑,966118,后付费包月小灵通  ,1055,67,14714,14782,1478.20
0801,璧山局,城市,未捆绑,966118,后付费非包月小灵通,108,15,1748,1752,175.20
0801,璧山局,城市,未捆绑,966118,预付费包月小灵通  ,5,1,75,76,0.00
0801,璧山局,乡村,未捆绑,118318,固定电话          ,167,9,401,464,46.40
0801,璧山局,乡村,未捆绑,118318,后付费包月小灵通  ,5,2,44,42,4.20
0801,璧山局,乡村,未捆绑,118318,后付费非包月小灵通,3,2,4,6,0.60
0801,璧山局,乡村,未捆绑,118318,预付费包月小灵通  ,455,15,4089,4263,0.00
0801,璧山局,乡村,未捆绑,118318,预付费非包月小灵通,73,16,500,525,35.38
0801,璧山局,乡村,未捆绑,96501,固定电话          ,13,4,6,26,2.60
0801,璧山局,乡村,未捆绑,966118,固定电话          ,499,247,1147,1778,177.80
0801,璧山局,乡村,未捆绑,966118,后付费非包月小灵通,2,1,16,15,1.50
0801,璧山局,乡村,未捆绑,966118,预付费包月小灵通  ,38,9,329,345,0.00
0801,璧山局,乡村,未捆绑,966118,预付费非包月小灵通,9,4,40,38,0.29
0801,江津局,城市,未捆绑,118318,固定电话          ,23,5,87,93,9.50
0801,江津局,城市,未捆绑,118318,后付费包月小灵通  ,42,7,237,262,26.20
0801,江津局,城市,未捆绑,118318,后付费非包月小灵通,209,7,1663,1746,174.60
0801,江津局,城市,未捆绑,96501,固定电话          ,11,2,4,22,2.20
0801,江津局,城市,未捆绑,966118,固定电话          ,241,144,1213,1499,151.70
0801,江津局,城市,未捆绑,966118,后付费包月小灵通  ,4,4,13,15,1.50
0801,江津局,城市,未捆绑,966118,后付费非包月小灵通,27,7,321,323,32.30
0801,江津局,乡村,未捆绑,118318,固定电话          ,64,22,205,242,24.20
0801,江津局,乡村,未捆绑,118318,预付费包月小灵通  ,26,2,84,107,0.20
0801,江津局,乡村,未捆绑,118318,预付费非包月小灵通,9,1,45,46,0.00
0801,江津局,乡村,未捆绑,96501,固定电话          ,36,8,17,72,7.20
0801,江津局,乡村,未捆绑,966118,固定电话          ,1002,481,3850,4750,493.90
0801,江津局,乡村,未捆绑,966118,预付费非包月小灵通,4,1,6,8,0.78
0801,合川局,城市,未捆绑,118318,固定电话          ,110,15,1044,1059,106.50
0801,合川局,城市,未捆绑,118318,后付费包月小灵通  ,9,3,44,47,4.70
0801,合川局,城市,未捆绑,118318,后付费非包月小灵通,20,2,228,232,23.20
0801,合川局,城市,未捆绑,118318,预付费非包月小灵通,1,1,0,2,0.20
0801,合川局,城市,未捆绑,96501,固定电话          ,15,4,6,30,3.00
0801,合川局,城市,未捆绑,96501,后付费非包月小灵通,3,1,1,6,0.60
0801,合川局,城市,未捆绑,966118,固定电话          ,346,147,766,1167,119.40
0801,合川局,城市,未捆绑,966118,后付费非包月小灵通,14,6,108,113,11.55
0801,合川局,乡村,未捆绑,118318,固定电话          ,337,53,1796,1932,194.30
0801,合川局,乡村,未捆绑,118318,预付费包月小灵通  ,352,8,5492,5518,0.00
0801,合川局,乡村,未捆绑,118318,预付费非包月小灵通,118,9,1007,1023,5.88
0801,合川局,乡村,未捆绑,96501,固定电话          ,17,5,7,34,3.40
0801,合川局,乡村,未捆绑,966118,固定电话          ,338,110,1478,1659,167.70
0801,合川局,乡村,未捆绑,966118,预付费包月小灵通  ,51,6,537,533,0.00
0801,合川局,乡村,未捆绑,966118,预付费非包月小灵通,18,2,56,63,0.20
0801,北碚局,城市,未捆绑,118318,固定电话          ,112,23,853,897,89.70
0801,北碚局,城市,未捆绑,118318,后付费包月小灵通  ,601,57,6304,6402,637.90
0801,北碚局,城市,未捆绑,118318,后付费非包月小灵通,1182,81,8559,9026,902.60
0801,北碚局,城市,未捆绑,118318,卡式电话          ,1,1,1,2,0.09
0801,北碚局,城市,未捆绑,118318,预付费包月小灵通  ,3480,146,31035,32257,0.98
0801,北碚局,城市,未捆绑,118318,预付费非包月小灵通,145,6,886,917,2.99
0801,北碚局,城市,未捆绑,96501,固定电话          ,4,2,2,8,0.80
0801,北碚局,城市,未捆绑,96501,后付费包月小灵通  ,7,1,4,14,1.40
0801,北碚局,城市,未捆绑,96501,后付费非包月小灵通,1,1,0,2,0.20
0801,北碚局,城市,未捆绑,966118,固定电话          ,228,79,1399,1582,132.70
0801,北碚局,城市,未捆绑,966118,后付费包月小灵通  ,1089,100,12151,12189,1218.90
0801,北碚局,城市,未捆绑,966118,后付费非包月小灵通,1393,147,19080,19113,1907.70
0801,北碚局,城市,未捆绑,966118,预付费包月小灵通  ,2792,146,36939,37210,7.06
0801,北碚局,城市,未捆绑,966118,预付费非包月小灵通,43,2,331,341,0.00
0801,北碚局,乡村,未捆绑,118318,固定电话          ,280,16,870,1043,103.70
0801,北碚局,乡村,未捆绑,118318,后付费包月小灵通  ,44,4,1128,1135,78.40
0801,北碚局,乡村,未捆绑,118318,后付费非包月小灵通,102,3,999,984,98.40
0801,北碚局,乡村,未捆绑,118318,预付费包月小灵通  ,10911,578,105350,108110,4.21
