账期,地区,城市_乡村,是否上网捆绑,用户类型,接入码,帐目类型,用户数,"话单
张数",通话时长,费用
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,0,0,0.98
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,534,1525,96847,50.81
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,46,556,0
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,90,5405,0
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,15,69,28952,1.76
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,42,126,11724,23.91
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,106,821,54858,30.33
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,12,0
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,3,0
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,60,1396,551584,1.27
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,56,1383,982568,5.29
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,41,137,9211,3.63
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,71,143,8923,12.63
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,2,100,0.2
0803,渝北电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,28,86,5010,1.67
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,13,0,0,8.33
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,5527,18735,1295024,77.15
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,8,210,13530,0.59
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,70,251,14606,0.88
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,414,1808,462852,7.25
